,aspect,cosineCorr,cosineCorrPVal,manhattanCorr,manhattanCorrPVal,euclidianCorr,euclidianCorrPVal
Apaac_200,,,,,,,
0,MF,0.043015323877798974,1.275232485371586e-09,0.09287451352473554,2.2423839488099827e-39,0.07315745666738645,4.980173593830241e-25
1,BP,0.03596742242916577,3.87185132199402e-07,0.0676074547657732,1.3282449969712167e-21,0.06990830039941925,5.437903528423845e-23
2,CC,0.09779876006600252,1.715484930326001e-43,0.0574461580638046,5.063387462384803e-16,0.07298831348470257,6.391653357499576e-25
Apaac_500,,,,,,,
0,MF,0.043243022451628615,4.205615511213268e-52,0.04637035651800273,1.1965390039932603e-59,0.03506796457440112,7.496808919314834e-35
1,BP,0.01855687245858002,7.249096711297944e-11,0.0453083211252954,5.00415281527543e-57,0.04563678936500136,7.853138555122172e-58
2,CC,0.04768344174059898,1.7568688338370672e-62,0.0393651568029345,3.8739505895433425e-43,0.04689006995592237,1.772013867422454e-60
Apaac_All,,,,,,,
0,MF,0.04719852506253455,0.0,-0.0128362444544698,1.3159712381639724e-171,-0.009299848411743023,5.175585260637845e-91
1,BP,0.02514829518726819,0.0,-0.001790633016345364,6.76257016067366e-15,0.008741840160696235,0.0
2,CC,0.04973499926885012,0.0,0.021906435037225103,0.0,0.030695487693396282,0.0
Apaac_Sparse,,,,,,,
0,MF,-0.0033883959429530674,0.9578319925189998,0.21191641661108007,0.0008230590682670463,0.16765164049227865,0.00841880859270916
1,BP,0.2199191239006552,0.0004986374345098746,0.24322794063777126,0.00011274652475212617,0.2761382060731929,1.0638855689866112e-05
2,CC,0.07549714807954372,0.2390538592277505,0.2815020930403349,7.659529336041173e-06,0.22822707651633226,0.00031614287675380985
Gene2Vec,,,,,,,
0,MF,0.07649544367950639,0.0,-0.07640568314152323,0.0,-0.07912487736772605,0.0
1,BP,0.07293098891990332,0.0,-0.07351859962490839,0.0,-0.07663059517487407,0.0
2,CC,0.1350886690451409,0.0,-0.12078827649453194,0.0,-0.1273103640896483,0.0
Gene2Vec_Sparse_highest_500,,,,,,,
0,MF,0.07428877742466591,0.24570526169364804,0.17562225048012686,0.005744895573279133,0.19297976917635815,0.002365938616022616
1,BP,0.4288663012005593,1.7945665592010966e-12,0.407953665862896,2.532489059508173e-11,0.3729442531463319,1.43706391357765e-09
2,CC,0.4191531550645049,7.645517985617313e-12,0.359607993537279,6.832652069339137e-09,0.3732686517229844,1.6181434616116715e-09
Gene2Vec_highest_200,,,,,,,
0,MF,0.0938153249372314,3.808962832459843e-40,0.09346250205689033,7.420802047333575e-40,0.08696913262192496,1.0121064397250687e-34
1,BP,0.13119712297365815,4.105392235160172e-77,0.09154795168521214,2.648653106543004e-38,0.11607747026290008,1.1806220689790004e-60
2,CC,0.13983360917806933,1.9164132414196703e-87,0.13337031998306156,1.1960188311617878e-79,0.13011852933456433,7.176317134150369e-76
Gene2Vec_highest_500,,,,,,,
0,MF,0.057953273124171915,3.557562231721213e-92,0.08493142156178822,4.649376754150386e-196,0.08155131787976047,7.09822126212939e-181
1,BP,0.12383759377786928,0.0,0.0934176727500306,4.7917007999368444e-235,0.10632919703904864,2.887476201581751e-304
2,CC,0.17321759823159524,0.0,0.16135301030165394,0.0,0.1647207523480886,0.0
KSEP_200,,,,,,,
0,MF,0.15060923264852613,2.688410128327451e-100,0.12334233160992908,1.218428649129775e-67,0.11713359333018655,3.8768832193958904e-61
1,BP,0.07889079868238373,7.524297378840821e-29,0.08971703015331264,7.543392887177284e-37,0.09434875647656173,1.3829570993583595e-40
2,CC,0.15809932269129254,2.8291306580614112e-108,0.023480517654398448,0.0011033162024986806,0.09818417638838982,1.442591230816491e-42
KSEP_500,,,,,,,
0,MF,0.14366047958647976,0.0,0.06963852071845925,2.825911112562771e-131,0.06572488597833245,4.033508270448132e-117
1,BP,0.05632639189425,3.5954909526322596e-87,0.06283327182416408,4.813595199693791e-108,0.07023176520032312,1.4718931729548344e-134
2,CC,0.0839654418202985,1.3508280915756668e-185,0.026205072098513832,1.3876932458912944e-19,0.06399565087807534,1.7023604962392723e-108
KSEP_All,,,,,,,
0,MF,0.0938360730669825,0.0,-0.009491854841750571,5.242559225932142e-94,0.0023170800813545308,5.141581111505429e-07
1,BP,0.03655340537916736,0.0,0.0024908052411282376,3.5388502597375855e-27,0.015055657172721212,0.0
2,CC,0.08489323124944116,0.0,0.0145147158725445,0.0,0.04760629900094506,0.0
KSEP_Sparse,,,,,,,
0,MF,0.15228838647140494,0.01683262847017645,0.313503807763848,5.189365093137087e-07,0.2289668153229495,0.000293311266486756
1,BP,0.28865584496252433,3.985785635229992e-06,0.3029230386988472,1.2276589635753954e-06,0.3123469039966617,5.445185111575878e-07
